genID,pop,name,geo_grp,lat,lon,PROVNAME,ECS_PROV,SECNAME,ECS_SEC,SUBSECNAME,ECS_SUBSEC,ECS_fac,ECS_fac2,MN_quad
T-STL022-1_S106R1_001_gbstrim_trimmomatic,149,STL022,6,48.109489,-92.840096,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL023-1_S133R1_001_gbstrim_trimmomatic,150,STL023,6,47.861478,-92.718491,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-STL024-1_S156R1_001_gbstrim_trimmomatic,151,STL024,6,47.769284,-92.653847,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL025-1_S124R1_001_gbstrim_trimmomatic,152,STL025,6,47.642631,-92.560451,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL026-1_S178R1_001_gbstrim_trimmomatic,153,STL026,6,47.592552,-92.56127,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL027-1_S103R1_001_gbstrim_trimmomatic,154,STL027,6,47.293862,-92.476902,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL028-1_S147R1_001_gbstrim_trimmomatic,155,STL028,6,47.086556,-92.4741,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL029-1_S126R1_001_gbstrim_trimmomatic,156,STL029,6,46.910153,-92.387468,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL030-1_S159R1_001_gbstrim_trimmomatic,157,STL030,6,46.972205,-92.218033,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-STL031-1_S180R1_001_gbstrim_trimmomatic,158,STL031,6,47.393461,-92.810554,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL032-1_S171R1_001_gbstrim_trimmomatic,159,STL032,6,47.458969,-92.389221,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-STL033-1_S105R1_001_gbstrim_trimmomatic,160,STL033,6,47.625403,-92.243957,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-STL034-1_S117R1_001_gbstrim_trimmomatic,161,STL034,6,47.800327,-92.282662,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL035-1_S96R1_001_gbstrim_trimmomatic,162,STL035,6,47.902067,-91.876541,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Border Lakes,212La,4,2,Northeast
T-STL036-1_S108R1_001_gbstrim_trimmomatic,163,STL036,6,47.411877,-91.976743,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Toimi Uplands,212Ld,7,5,Northeast
T-STL037-1_S109R1_001_gbstrim_trimmomatic,164,STL037,6,47.688814,-91.64045,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-STL038-1_S155R1_001_gbstrim_trimmomatic,165,STL038,6,47.6056,-91.645588,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Laurentian Uplands,212Le,8,6,Northeast
T-STL039-1_S164R1_001_gbstrim_trimmomatic,166,STL039,6,47.371245,-92.036705,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Toimi Uplands,212Ld,7,5,Northeast
T-STL040-1_S177R1_001_gbstrim_trimmomatic,167,STL040,6,47.371633,-92.309596,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-SWI004-1_S100R1_001_gbstrim_trimmomatic,168,SWI004,10,45.33438,-95.96308,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-SWI005-1_S99R1_001_gbstrim_trimmomatic,169,SWI005,10,45.35654,-95.33685,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-WAB004-1_S125R1_001_gbstrim_trimmomatic,170,WAB004,13,44.38218,-92.03775,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WAB005-1_S169R1_001_gbstrim_trimmomatic,171,WAB005,13,44.35971,-92.366881,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,Rochester Plateau,222Lf,16,14,Southeast
T-WAB006-1_S148R1_001_gbstrim_trimmomatic,172,WAB006,13,44.351788,-92.375605,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,Rochester Plateau,222Lf,16,14,Southeast
T-WASH004-1_S157R1_001_gbstrim_trimmomatic,173,WASH004,11,45.10084,-92.9845,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,St. Paul-Baldwin Plains,222Md,20,17,Southeast
T-WASH005-1_S102R1_001_gbstrim_trimmomatic,174,WASH005,11,45.23754,-92.98986,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,St. Paul-Baldwin Plains,222Md,20,17,Southeast
T-WIN017-1_S127R1_001_gbstrim_trimmomatic,175,WIN017,13,43.938074,-91.861351,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WIN020-1_S49R1_001_gbstrim_trimmomatic,176,WIN020,13,44.01435,-91.61582,Eastern Broadleaf Forest Province,222,Paleozoic Plateau,222L,The Blufflands,222Lc,15,13,Southeast
T-WIS020-1_S61R1_001_gbstrim_trimmomatic,177,WIS020,11,45.31719,-92.6915,<Null>,<Null>,<Null>,WIS,<Null>,WIS,27,22,Southeast
T-WIS021-1_S181R1_001_gbstrim_trimmomatic,178,WIS021,11,45.186271,-92.38528,<Null>,<Null>,<Null>,WIS,<Null>,WIS,27,22,Southeast
